"Story","Title","Result","Date","Stability","Duration (s)"
"Make request to service","Make request to method Get for consult an image of cat","SUCCESS","2023-07-13T14:21:35.886166-05:00[America/Bogota]","0.0","0.78"
"Make request to service","Make request to method POST for create favorite an image of cat","SUCCESS","2023-07-13T14:21:36.697713-05:00[America/Bogota]","0.0","4.65"
"Make request to service","Make request to method Get for consult an image favourite","SUCCESS","2023-07-13T14:21:41.391387-05:00[America/Bogota]","0.0","0.79"
"Make request to service","I Make request to method POST for realice double favorite an image of cat","SUCCESS","2023-07-13T14:21:42.193351-05:00[America/Bogota]","0.0","0.6"
"Make request to service","Make request to method DELETE for delete an image of cat","SUCCESS","2023-07-13T14:21:42.806421-05:00[America/Bogota]","0.0","0.72"
