"Story","Title","Result","Date","Stability","Duration (s)"
"Make request to service","Make request to method POST for create favorite an image of cat","SUCCESS","2023-07-13T12:04:33.251384-05:00[America/Bogota]","0.0","10.6"
"Make request to service","Make request to method POST for create favorite an image of cat","SUCCESS","2023-07-13T12:04:33.251384-05:00[America/Bogota]","0.0","10.6"
"Make request to service","Make request to method POST for create favorite an image of cat","SUCCESS","2023-07-13T12:04:33.251384-05:00[America/Bogota]","0.0","10.6"
