"Story","Title","Result","Date","Stability","Duration (s)"
"Make request to service","Make request to method POST for create favorite an image of cat","SUCCESS","2023-07-13T00:07:36.266313-05:00[America/Bogota]","0.0","4.35"
"Make request to service","Make request to method POST for create favorite an image of cat","SUCCESS","2023-07-13T00:07:36.266313-05:00[America/Bogota]","0.0","4.35"
"Make request to service","Make request to method POST for create favorite an image of cat","SUCCESS","2023-07-13T00:07:36.266313-05:00[America/Bogota]","0.0","4.35"
