"Story","Title","Result","Date","Stability","Duration (s)"
"Make request to service","Make request to method Get for consult all images of cats","SUCCESS","2023-07-13T00:07:27.429363-05:00[America/Bogota]","0.0","8.06"
"Make request to service","Make request to method POST for create favorite an image of cat","SUCCESS","2023-07-13T00:07:36.266313-05:00[America/Bogota]","0.0","4.35"
